respondent_id,persona,age_group,gender,city_tier,monthly_hh_income,hh_type,products_used_shampoo,products_used_conditioner,products_used_body_wash,products_used_bar_soap,products_used_dishwash,products_used_laundry,products_used_floor_cleaner,products_used_toilet_cleaner,primary_channel,actual_spend_personal_care,actual_spend_mid,total_hh_spend_monthly,purchase_drivers_price,purchase_drivers_brand_trust,purchase_drivers_ingredients,purchase_drivers_eco_pkg,purchase_drivers_efficacy,purchase_drivers_fragrance,purchase_drivers_recommendation,purchase_drivers_availability,habit_strength,eco_concern_score,prior_eco_purchase,green_identity,lifestyle_exercise_yoga,lifestyle_track_waste,lifestyle_organic_food,lifestyle_eco_content,lifestyle_lifestyle_change,lifestyle_repair_reuse,greenwashing_skepticism,premium_willingness_pct,brand_switch_readiness,hard_water_waxy_hair,hard_water_poor_lather,hard_water_softener,hard_water_no_issue,trust_signal_lab_tests,trust_signal_certification,trust_signal_friend_rec,trust_signal_influencer_rec,trust_signal_free_sample,trust_signal_money_back,trust_signal_reviews,peer_eco_usage,discovery_channel,format_interest_shampoo_bar,format_interest_dishwash_block,format_interest_laundry_sheets,format_interest_body_bar,format_interest_surface_tablets,format_interest_conditioner_bar,format_interest_toilet_tablet,format_interest_none,barrier_efficacy_doubt,barrier_unfamiliar,barrier_price,barrier_availability,barrier_habit,barrier_humidity,barrier_no_concern,preferred_eco_channel,ayurveda_affinity,subscription_intent,bundle_pref_bathroom_kit,bundle_pref_kitchen_kit,bundle_pref_full_home,bundle_pref_trial_sampler,bundle_pref_gift_hamper,bundle_pref_no_bundle,eco_spend_willingness,max_price_shampoo_bar,max_price_laundry_sheets,pricing_model_pref,scenario_purchase_intent,overall_interest_score,interest_binary,interest_3class,actual_spend_mid_fill,aspiration_gap,lifestyle_score,format_interest_count,barrier_count,trust_signal_count,sdb_flag,is_outlier
R0001,Eco Skeptic,25-34,Female,Tier3,25-50k,Couple,1,1,0,1,1,1,1,0,Amazon_Flipkart,401-700,550.0,494,1,0,0,0,0,1,1,1,gt5y,5,Yes_few,Curious,1,0,0,0,0,0,3,0,2,0,0,0,1,1,1,0,0,1,0,0,Friends_rec,Article_news,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,Amazon,Somewhat,Yes_if_discount,0,0,0,1,0,0,370,201-300,150-250,Monthly_sub,No,3,0,Neutral,550.0,-180.0,1,1,3,3,0,0
R0002,Price Pragmatist,35-44,Female,Tier3,50-100k,Family_small,1,0,1,1,1,1,1,1,Kirana,701-1200,950.0,478,1,1,0,0,1,0,0,1,No_fixed,1,No_considered,Occasional,0,0,1,0,0,1,4,11-20,3,0,0,0,1,0,0,1,0,1,1,1,No_circle,Marketplace_browse,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,Eco_store,Very_imp,Yes_if_discount,0,0,1,1,1,1,727,100-150,150-250,Single,No,2,0,Not_Interested,950.0,-223.0,2,1,3,4,0,0
R0003,Urban Renter,25-34,Female,Tier1,25-50k,Couple,1,1,0,1,0,1,0,0,Quick_commerce,200-400,300.0,519,0,0,0,0,1,0,0,0,lt6m,3,No_considered,Curious,1,0,0,1,0,1,4,21-30,3,0,0,0,1,0,0,1,0,0,1,0,Family_use,Marketplace_browse,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,Quick_comm,Neutral,No,1,1,1,0,1,0,474,gt300,351-500,Monthly_sub,Order_now,5,1,Interested,300.0,174.0,3,5,2,2,0,0
R0004,Urban Renter,35-44,Male,Tier2,100-200k,Couple,1,1,1,1,1,1,0,1,Quick_commerce,401-700,550.0,1178,0,1,0,1,1,0,0,0,6m-2y,4,No_considered,Occasional,1,1,1,1,1,1,2,gt30,3,0,0,0,1,1,1,0,1,1,1,1,Friends_rec,Friend_family,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,Brand_website,Somewhat,Yes_if_discount,0,0,0,0,0,0,940,100-150,lt150,Monthly_sub,Research_first,3,0,Neutral,550.0,390.0,6,4,1,6,0,0
R0005,Mindful Parent,35-44,Female,Metro,50-100k,Family_large,1,1,1,0,1,1,1,1,D2C,701-1200,950.0,990,0,1,0,1,1,1,1,1,6m-2y,4,No_considered,Core_identity,1,0,1,0,0,0,4,11-20,4,1,0,0,0,0,0,0,0,0,0,1,Family_use,Free_sample,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,Nykaa,Somewhat,Yes_if_discount,1,0,0,0,1,0,836,lt100,251-350,Refill_system,Wishlist,2,0,Not_Interested,950.0,-114.0,2,4,3,1,0,0
R0006,Mindful Parent,18-24,Male,Tier1,50-100k,Joint,1,0,1,0,1,1,0,1,Kirana,401-700,550.0,684,1,1,1,0,1,0,0,1,6m-2y,3,Yes_regularly,Core_identity,1,1,0,0,1,0,2,11-20,4,0,0,0,1,0,0,0,0,1,0,1,Family_use,Article_news,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Supermarket,Somewhat,Try_first,0,1,1,1,0,0,276,151-200,351-500,Refill_system,Wishlist,4,1,Interested,550.0,-274.0,3,2,2,2,0,0
R0007,Eco Warrior,25-34,Male,Metro,25-50k,Family_large,1,0,0,1,0,1,1,0,Kirana,,,1142,0,0,1,1,1,0,1,1,No_fixed,2,No_not_priority,Conscious_buyer,0,1,1,1,0,0,2,21-30,5,0,0,0,1,0,1,1,1,0,0,1,Friends_rec,Influencer,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,Brand_website,Neutral,Try_first,1,0,1,0,1,0,667,gt300,351-500,Monthly_sub,Wishlist,4,1,Interested,,117.0,3,5,1,4,0,0
R0008,Price Pragmatist,35-44,Male,Tier1,25-50k,Family_small,1,0,0,1,1,1,0,1,Kirana,lt200,150.0,409,1,1,0,1,1,0,1,1,gt5y,2,No_not_priority,Core_identity,1,0,1,1,0,0,4,0,5,0,0,0,1,0,0,1,0,0,1,0,No_circle,Influencer,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Eco_store,Very_imp,Try_first,0,0,1,0,0,0,277,100-150,150-250,Quarterly_bulk,Research_first,2,0,Not_Interested,150.0,127.0,3,1,3,2,1,0
R0009,Urban Renter,18-24,Female,Tier1,50-100k,Single,1,1,1,1,0,1,1,1,D2C,200-400,300.0,379,1,1,1,0,1,0,0,1,6m-2y,5,No_considered,Occasional,1,0,0,0,0,1,1,21-30,5,1,0,1,0,1,0,0,1,1,1,1,Unsure,Marketplace_browse,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,Nykaa,Intl_std,Try_first,0,1,0,1,1,1,461,151-200,251-350,Monthly_sub,Order_now,5,1,Interested,300.0,161.0,2,4,3,5,0,0
R0010,Urban Renter,18-24,Female,Tier2,25-50k,Couple,1,0,1,1,1,1,1,1,Kirana,200-400,300.0,663,1,0,1,1,0,0,0,1,lt6m,3,No_considered,Conscious_buyer,1,0,0,0,0,0,5,1-10,5,0,0,0,1,0,1,1,0,1,0,0,Friends_rec,Marketplace_browse,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Quick_comm,Very_imp,Yes_already,0,0,1,0,0,0,513,lt100,150-250,Single,Research_first,5,1,Interested,300.0,213.0,1,2,2,3,0,0
